geoName,Julie Andrews,Tyrese Gibson,Billy Bob Thornton,Peggy Lipton,Patrick Dempsey,Shirley MacLaine,Tony Curtis,Stephen Collins,Dustin Hoffman,John Travolta
Alabama,9.005740557617475,6.844362823789281,8.285281313008078,1.8011481115234949,10.086429424531572,3.9361675803050042,2.7061152114596903,2.2140942639215644,5.658240896688444,32.063365081234515
Alaska,13.688725647578561,3.242066600742291,7.204592446093979,1.8011481115234949,10.086429424531572,5.187306561187666,3.1700206762813514,1.7291021870625554,8.645510935312776,36.85717819791236
Arizona,11.887577536055067,4.322755467656388,6.484133201484582,2.521607356132893,10.80688866914097,4.834660720405171,3.6970934920745426,1.9907426495785998,7.109795177066427,40.288839336709756
Arkansas,9.005740557617475,4.322755467656388,12.247807158359766,1.440918489218796,9.005740557617475,3.6022962230469897,3.377152709106553,1.5760045975830583,4.9531573066896115,26.004075860120462
California,11.887577536055067,5.043214712265786,5.763673956875184,2.521607356132893,10.80688866914097,4.80306163072932,3.9024875749675725,2.101339463444078,8.405357853776312,33.62143141510525
Colorado,13.328496025273864,3.242066600742291,6.484133201484582,2.161377733828194,10.80688866914097,4.381171082084177,3.212858793528397,3.7970149378062867,7.009873731334683,34.224677629457574
Connecticut,11.527347913750368,3.9625258453516894,5.403444334570485,3.6022962230469897,11.527347913750368,4.6732491542231225,3.4270493797636234,2.492399548918999,9.03494836483137,33.98861527722277
Delaware,11.887577536055067,5.403444334570485,6.484133201484582,2.161377733828194,10.086429424531572,4.396648723513763,2.844890350508905,1.8103847685056667,6.724286283021049,28.666694153931836
District of Columbia,11.16711829144567,5.763673956875184,5.403444334570485,2.881836978437592,10.80688866914097,4.767745001091604,4.132045667612724,3.178496667394403,8.899790668704327,31.553803279951705
Florida,10.80688866914097,5.403444334570485,6.844362823789281,2.161377733828194,10.80688866914097,4.710695060907603,3.6022962230469897,1.6625982567909185,6.927492736628828,42.554598239291366
Georgia,9.365970179922174,7.564822068398678,7.204592446093979,1.8011481115234949,10.086429424531572,3.0493856399746617,2.580249387670867,1.8765450092151765,5.864203153797426,33.230484538185415
Hawaii,12.968266402969164,4.682985089961087,5.763673956875184,2.521607356132893,10.086429424531572,5.043214712265786,3.26325657852492,2.6699372006112982,8.603130979747519,30.502009837286657
Idaho,14.409184892187959,2.161377733828194,6.844362823789281,2.161377733828194,10.44665904683627,4.285808839727701,3.214356629795776,1.607178314897888,7.232302417040495,30.832447146330537
Illinois,10.80688866914097,5.403444334570485,6.844362823789281,2.161377733828194,10.80688866914097,4.052583250927864,2.971894384013767,1.8912055170996696,7.2946498516701554,33.231182657608485
Indiana,12.608036780664467,4.322755467656388,6.844362823789281,2.161377733828194,10.086429424531572,4.286732505425918,2.773768091746182,2.0172858849063147,6.051857654718942,34.29386004340734
Iowa,11.527347913750368,3.242066600742291,7.564822068398678,2.521607356132893,11.16711829144567,4.295045496709872,3.149700030920573,2.5770272980259237,7.444745527630444,31.738125670424527
Kansas,11.527347913750368,4.322755467656388,7.564822068398678,2.161377733828194,10.44665904683627,3.7500827347617385,3.214356629795776,2.1429044198638505,7.232302417040495,32.9471554554067
Kentucky,10.086429424531572,4.322755467656388,9.005740557617475,1.8011481115234949,10.80688866914097,4.322755467656388,2.971894384013767,2.7017221672852423,6.213960984756057,35.212445580284324
Louisiana,9.005740557617475,7.204592446093979,7.564822068398678,2.161377733828194,10.086429424531572,4.396648723513763,3.1035167460097144,2.069011164006476,6.207033492019429,35.1731897881101
Maine,7.925051690703379,1.080688866914097,3.9625258453516894,1.440918489218796,21.61377733828194,2.74460664613104,2.40153081536466,2.05845498459828,5.48921329226208,20.649897623271634
Maryland,11.16711829144567,5.763673956875184,5.403444334570485,2.881836978437592,10.80688866914097,4.156495641977296,3.325196513581837,2.216797675721225,7.204592446093979,32.82092114331702
Massachusetts,12.608036780664467,3.242066600742291,5.043214712265786,2.521607356132893,12.608036780664467,4.097611953715951,3.4672101146827274,2.521607356132893,8.825625746465125,35.3025029858605
Michigan,11.527347913750368,4.322755467656388,6.844362823789281,2.161377733828194,11.16711829144567,3.8131623434204722,2.996056126973228,2.178949910525984,7.081587209209449,32.26056395306527
Minnesota,13.688725647578561,3.6022962230469897,6.484133201484582,2.521607356132893,9.726199802226873,4.322755467656388,3.242066600742291,2.161377733828194,7.564822068398678,34.461967200482874
Mississippi,8.645510935312776,9.005740557617475,7.564822068398678,1.440918489218796,9.365970179922174,3.049385639974661,2.395945859980091,1.9603193399837109,5.009704979958372,28.38832821976411
Missouri,11.527347913750368,4.682985089961087,6.844362823789281,2.161377733828194,10.80688866914097,4.322755467656388,3.5122388174708155,2.161377733828194,6.213960984756057,35.212445580284324
Montana,12.608036780664467,2.161377733828194,9.005740557617475,1.440918489218796,10.80688866914097,5.557828458415356,3.0876824768974203,2.470145981517936,8.954279183002518,33.68514549796185
Nebraska,11.527347913750368,3.6022962230469897,7.204592446093979,2.161377733828194,11.527347913750368,4.217322407469647,3.373857925975718,2.249238617317145,6.747715851951436,30.73959443666765
Nevada,10.086429424531572,6.844362823789281,6.844362823789281,2.521607356132893,9.726199802226873,4.863099901113436,4.863099901113436,2.002452900458474,7.151617501637407,40.52583250927864
New Hampshire,13.328496025273864,1.440918489218796,5.763673956875184,2.521607356132893,12.968266402969164,4.428188527843129,3.1629918056022355,2.8466926250420115,8.223778694565812,29.157033553460604
New Jersey,12.247807158359766,3.9625258453516894,4.682985089961087,3.242066600742291,11.887577536055067,3.9625258453516894,3.352906484528353,2.1336677628816787,9.14429041235005,38.98355386317654
New Mexico,10.80688866914097,3.9625258453516894,7.925051690703379,2.161377733828194,11.16711829144567,8.798335623563256,3.3839752398320213,2.030385143899213,8.459938099580052,41.304403662655545
New York,11.16711829144567,5.043214712265786,4.682985089961087,3.242066600742291,11.887577536055067,4.4980023109397544,3.855430552234076,2.2490011554698772,9.63857638058519,36.2594063841062
North Carolina,10.086429424531572,6.123903579179883,7.204592446093979,2.161377733828194,10.44665904683627,3.4012378292025067,2.6724011515162553,1.9435644738300037,5.830693421490012,33.04059605511007
North Dakota,11.16711829144567,3.6022962230469897,7.925051690703379,1.080688866914097,12.247807158359766,3.7028254199692316,2.8483272461301783,2.2786617969041427,7.405650839938463,36.15700115969956
Ohio,11.887577536055067,3.9625258453516894,6.844362823789281,2.521607356132893,10.80688866914097,3.5122388174708155,2.971894384013767,2.161377733828194,7.564822068398678,36.93413127512296
Oklahoma,10.086429424531572,4.322755467656388,9.005740557617475,1.8011481115234949,10.80688866914097,4.550268913322514,3.412701684991885,2.5595262637439142,7.109795177066427,37.326424679598745
Oregon,14.048955269883262,2.521607356132893,7.204592446093979,2.881836978437592,9.365970179922174,5.392528285409737,3.4058073381535174,2.2705382254356787,7.946883789024875,33.878820363737624
Pennsylvania,11.887577536055067,3.6022962230469897,5.763673956875184,2.521607356132893,12.247807158359766,3.7909879299684994,2.91614456151423,2.332915649211384,7.873590316088422,33.5663587159559
Rhode Island,12.247807158359766,3.242066600742291,5.043214712265786,3.6022962230469897,11.887577536055067,4.059172817189535,2.6094682396218443,2.0295864085947675,8.408286549892608,29.81119776780107
South Carolina,10.086429424531572,6.844362823789281,7.204592446093979,2.161377733828194,9.726199802226873,3.6473249258350777,2.9178599406680625,1.9452399604453747,6.078874876391796,31.914093101056928
South Dakota,12.247807158359766,3.9625258453516894,7.564822068398678,1.440918489218796,10.80688866914097,3.242066600742291,2.971894384013767,2.161377733828194,7.834994285127203,35.692751743357256
Tennessee,10.44665904683627,4.322755467656388,8.285281313008078,1.8011481115234949,11.16711829144567,3.722372763815223,2.4815818425434824,1.9852654740347857,5.4594800535956605,30.937053637042077
Texas,9.726199802226873,5.763673956875184,7.564822068398678,1.8011481115234949,11.16711829144567,4.155206806119319,3.116405104589489,1.5582025522947445,5.973109783796521,33.84762210818029
Utah,16.570562626016155,2.161377733828194,5.403444334570485,1.8011481115234949,10.086429424531572,3.3621431415105234,3.121990059974058,1.20076540768233,6.243980119948116,30.485314703276096
Vermont,12.968266402969164,1.8011481115234949,6.484133201484582,2.881836978437592,11.887577536055067,5.318126792445688,3.1283098779092278,1.876985926745537,9.072098645936762,28.728312378799746
Virginia,11.887577536055067,4.322755467656388,6.123903579179883,2.521607356132893,11.16711829144567,3.456488994971278,3.190605226127334,2.127070150751556,6.647094221098612,30.281207007227014
Washington,13.688725647578561,2.881836978437592,6.484133201484582,2.521607356132893,10.44665904683627,4.517474182415685,3.105763500410783,1.976394954806862,8.187921955628429,34.90640412662646
West Virginia,9.365970179922174,3.6022962230469897,9.005740557617475,2.161377733828194,11.887577536055067,3.782411034199339,2.7017221672852423,2.161377733828194,6.484133201484582,29.53882902898532
Wisconsin,13.328496025273864,3.242066600742291,6.123903579179883,2.161377733828194,11.16711829144567,4.4080730097811855,3.8203299418103605,2.3509722718832986,7.640659883620721,40.11346438900878
Wyoming,13.328496025273864,2.521607356132893,6.844362823789281,1.8011481115234949,11.527347913750368,4.391370633809664,2.195685316904832,1.9212246522917278,7.4104379445538076,33.758661747411786
